ExecutionId,CycleName,FolderName,Issue Key,Test Summary,Project,Component,Version,Priority,Executed By,Executed On,ExecutionStatus,ExecutionDefects,CreationDate,Assigned To,Custom Fields,Work Flow Status,Total Execution Time,Total Logged Time,StepId,OrderId,Step,Test Data,Expected Result,Step Result,Comments,Step Custom Fields
f8b1a401-cd92-45e1-b377-d83ac97ae7b3,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,,,UNEXECUTED,,8/21/2022 18:57,,,,,,f2f9151b-3043-481a-aa3d-bde925ce644b,1,Click on the Add Employee tab,,Should be Navigate to the Add Employee page,UNEXECUTED,,
f8b1a401-cd92-45e1-b377-d83ac97ae7b3,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,,,UNEXECUTED,,8/21/2022 18:57,,,,,,9e112e91-b200-4987-a5e0-ae59548b8533,2,Enter the First name,Milan,First name should be accepted,UNEXECUTED,,
f8b1a401-cd92-45e1-b377-d83ac97ae7b3,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,,,UNEXECUTED,,8/21/2022 18:57,,,,,,3b07c21d-d8fb-456c-b58e-32a0aa9651be,3,Enter the Middle name,,Middle name should be accepted,UNEXECUTED,,
f8b1a401-cd92-45e1-b377-d83ac97ae7b3,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,,,UNEXECUTED,,8/21/2022 18:57,,,,,,7e489d4a-8a7e-4e56-a380-20f8bd999ada,4,Enter the Last name,Bohra,Last name should be accepted,UNEXECUTED,,
f8b1a401-cd92-45e1-b377-d83ac97ae7b3,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,,,UNEXECUTED,,8/21/2022 18:57,,,,,,f9b63674-9e3d-4f49-8061-5982ce7cdd4d,5,,,,UNEXECUTED,,
f8b1a401-cd92-45e1-b377-d83ac97ae7b3,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,,,UNEXECUTED,,8/21/2022 18:57,,,,,,69964a14-c404-4a17-8fab-0587a9815bfd,6,Enter the employee id,1050,Employee id should be accepted,UNEXECUTED,,
f8b1a401-cd92-45e1-b377-d83ac97ae7b3,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,,,UNEXECUTED,,8/21/2022 18:57,,,,,,962d9288-6f94-4804-b794-0e0983f3a4ed,7,Enable the the create login details button,,Should be accepted the enable button and open the form,UNEXECUTED,,
f8b1a401-cd92-45e1-b377-d83ac97ae7b3,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,,,UNEXECUTED,,8/21/2022 18:57,,,,,,ca1290ab-90fb-4941-9fdb-6f5a2e48970b,8,Enter the username in the form which is opened after enabling the create login details button,Milan,Username should be accepted,UNEXECUTED,,
f8b1a401-cd92-45e1-b377-d83ac97ae7b3,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,,,UNEXECUTED,,8/21/2022 18:57,,,,,,4cacb9d8-3cb9-41ca-932e-1ddf3dc46a1b,9,Enter the password in the form which is opened after enabling the create login details button,Qwerty#5115,Password should be accepted,UNEXECUTED,,
f8b1a401-cd92-45e1-b377-d83ac97ae7b3,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,,,UNEXECUTED,,8/21/2022 18:57,,,,,,8d9067ae-d8be-4844-b043-353a8aa2221c,10,Enter the Confirm password in the form which is opened after enabling the create login details button,Qwerty#5115,Confirm password should be accepted,UNEXECUTED,,
f8b1a401-cd92-45e1-b377-d83ac97ae7b3,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,,,UNEXECUTED,,8/21/2022 18:57,,,,,,76206f29-f072-492b-84d6-5a81ae80db1d,11,Click on the Save button,,Should be saved,UNEXECUTED,,
fa97b103-faa3-4890-8605-bb38674e47b4,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,sonal purohit,8/21/2022 19:04,PASS,,8/21/2022 18:58,,,,,,f2f9151b-3043-481a-aa3d-bde925ce644b,1,Click on the Add Employee tab,,Should be Navigate to the Add Employee page,PASS,,
fa97b103-faa3-4890-8605-bb38674e47b4,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,sonal purohit,8/21/2022 19:04,PASS,,8/21/2022 18:58,,,,,,9e112e91-b200-4987-a5e0-ae59548b8533,2,Enter the First name,Milan,First name should be accepted,PASS,,
fa97b103-faa3-4890-8605-bb38674e47b4,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,sonal purohit,8/21/2022 19:04,PASS,,8/21/2022 18:58,,,,,,3b07c21d-d8fb-456c-b58e-32a0aa9651be,3,Enter the Middle name,,Middle name should be accepted,PASS,,
fa97b103-faa3-4890-8605-bb38674e47b4,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,sonal purohit,8/21/2022 19:04,PASS,,8/21/2022 18:58,,,,,,7e489d4a-8a7e-4e56-a380-20f8bd999ada,4,Enter the Last name,Bohra,Last name should be accepted,PASS,,
fa97b103-faa3-4890-8605-bb38674e47b4,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,sonal purohit,8/21/2022 19:04,PASS,,8/21/2022 18:58,,,,,,f9b63674-9e3d-4f49-8061-5982ce7cdd4d,5,,,,PASS,,
fa97b103-faa3-4890-8605-bb38674e47b4,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,sonal purohit,8/21/2022 19:04,PASS,,8/21/2022 18:58,,,,,,69964a14-c404-4a17-8fab-0587a9815bfd,6,Enter the employee id,1050,Employee id should be accepted,PASS,,
fa97b103-faa3-4890-8605-bb38674e47b4,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,sonal purohit,8/21/2022 19:04,PASS,,8/21/2022 18:58,,,,,,962d9288-6f94-4804-b794-0e0983f3a4ed,7,Enable the the create login details button,,Should be accepted the enable button and open the form,PASS,,
fa97b103-faa3-4890-8605-bb38674e47b4,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,sonal purohit,8/21/2022 19:04,PASS,,8/21/2022 18:58,,,,,,ca1290ab-90fb-4941-9fdb-6f5a2e48970b,8,Enter the username in the form which is opened after enabling the create login details button,Milan,Username should be accepted,PASS,,
fa97b103-faa3-4890-8605-bb38674e47b4,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,sonal purohit,8/21/2022 19:04,PASS,,8/21/2022 18:58,,,,,,4cacb9d8-3cb9-41ca-932e-1ddf3dc46a1b,9,Enter the password in the form which is opened after enabling the create login details button,Qwerty#5115,Password should be accepted,PASS,,
fa97b103-faa3-4890-8605-bb38674e47b4,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,sonal purohit,8/21/2022 19:04,PASS,,8/21/2022 18:58,,,,,,8d9067ae-d8be-4844-b043-353a8aa2221c,10,Enter the Confirm password in the form which is opened after enabling the create login details button,Qwerty#5115,Confirm password should be accepted,PASS,,
fa97b103-faa3-4890-8605-bb38674e47b4,Ad hoc,,PROJ-1,Checking the functionality of Add Employee feature,Project1,,version1.0,Medium,sonal purohit,8/21/2022 19:04,PASS,,8/21/2022 18:58,,,,,,76206f29-f072-492b-84d6-5a81ae80db1d,11,Click on the Save button,,Should be saved,PASS,,
